Total, Łącznie
Order, Zamówienie
Sku, SKU
Continue to shipping, Kontynuuj do wysyłki
Continue shopping, Kontynuuj zakupy
Continue Shopping, Kontynuuj zakupy
CONTINUE SHOPPING, KONTYNUUJ ZAKUPY
Shopping cart, Koszyk
Product, Produkt
Price, Cena
Quantity, Ilość
Remove, Usuń
Qty, Ilość
Sub total, Suma częściowa
Discount(${coupon}), Rabat(${coupon})
Order summary, Podsumowanie zamówienia
Taxes and shipping calculated at checkout, Podatki i koszty wysyłki naliczone przy kasie
CHECKOUT, ZAMÓWIENIE
Change, Zmień
Payment Method, Metoda płatności
Shipping Method, Metoda wysyłki
No payment methods available, Brak dostępnych metod płatności
Place Order, Złóż zamówienie
My billing address is same as shipping address, Mój adres rozliczeniowy jest taki sam jak adres wysyłki
${count} items, ${count} przedmiotów/przedmioty
Discount, Rabat
Shipping, Wysyłka
No tax, Bez podatku
Tax, Podatek
Sorry, there is no available method for your address, Przepraszamy, nie ma dostępnej metody dla Twojego adresu
Please enter a shipping address in order to see shipping quotes, Proszę podać adres wysyłki, aby zobaczyć wycenę wysyłki
Continue to payment, Kontynuuj do płatności
No payment method available, Brak dostępnych metod płatności
Ship to, Wysyłka do
Shipment, Wysyłka
Thank you ${name}!, Dziękujemy, ${name}!
Contact information, Informacje kontaktowe
Order #${orderNumber}, Zamówienie #${orderNumber}
ADD TO CART, DODAJ DO KOSZYKA
Please select variant options, Proszę wybrać opcje wariantu
VIEW CART (${count}), ZOBACZ KOSZYK (${count})
JUST ADDED TO YOUR CART, DODANE DO KOSZYKA
Promotion code?, Kod promocyjny？
Enter coupon code, Wprowadź kod kuponu
Apply, Zastosuj
Your cart is empty!, Twój koszyk jest pusty！
